episode,timestep,reward,cost
1,2000,0.3852,-20.0
3,4000,0.0591,-148.0
5,6000,-0.0833,-118.0
7,8000,-0.4367,0.0
9,10000,1.647,-10.0
11,12000,-0.6765,-129.0
13,14000,-0.1319,-143.0
15,16000,-0.1494,-210.0
17,18000,1.0293,-28.5
19,20000,-0.2363,-71.5
21,22000,1.0893,-175.0
23,24000,0.1736,0.0
25,26000,0.0813,-291.5
27,28000,-1.3361,0.0
29,30000,-1.2624,0.0
31,32000,0.2886,-259.0
33,34000,-0.3145,-77.0
35,36000,-0.9934,0.0
37,38000,-0.2634,-35.0
39,40000,0.0296,-28.5
41,42000,0.6341,-11.0
43,44000,-0.208,0.0
45,46000,-0.2682,-113.0
47,48000,-1.6074,-163.5
49,50000,-0.2869,-13.5
51,52000,-3.5531,0.0
53,54000,-0.6357,0.0
55,56000,-0.3981,-173.5
57,58000,-1.1953,-3.0
59,60000,0.3008,-125.0
61,62000,1.7956,-109.0
63,64000,-1.4498,-96.5
65,66000,2.7662,-89.5
67,68000,-0.042,-35.5
69,70000,2.467,-33.5
71,72000,-0.562,0.0
73,74000,-0.2935,-82.0
75,76000,1.491,-334.0
77,78000,4.971,-42.5
79,80000,0.8099,-35.5
81,82000,2.9309,-170.0
83,84000,0.9409,-53.5
85,86000,-0.8649,-37.0
87,88000,2.691,-148.5
89,90000,2.8076,-101.5
91,92000,4.3079,-161.0
93,94000,4.2863,0.0
95,96000,5.1816,-48.5
97,98000,-1.4774,-52.0
99,100000,2.3076,-64.5
101,102000,1.73,-46.5
103,104000,-1.2852,-165.0
105,106000,-1.4551,0.0
107,108000,-1.284,-9.5
109,110000,1.9633,-46.0
111,112000,-2.7642,-43.0
113,114000,2.449,-31.5
115,116000,-0.276,-90.5
117,118000,0.4357,-52.5
119,120000,2.7436,-29.0
121,122000,0.3981,-35.0
123,124000,0.8693,-432.0
125,126000,2.0263,-24.5
127,128000,3.7207,-8.0
129,130000,1.6817,-182.5
131,132000,-2.7256,-64.5
133,134000,3.1214,0.0
135,136000,-4.0313,0.0
137,138000,0.7325,0.0
139,140000,0.6633,-41.5
141,142000,4.8633,-155.5
143,144000,-7.0141,0.0
145,146000,0.2325,-96.5
147,148000,2.075,-43.0
149,150000,-1.2493,-12.0
151,152000,3.2912,-72.5
153,154000,1.3755,0.0
155,156000,7.727,-26.5
157,158000,-0.6668,-154.5
159,160000,5.6404,-101.0
161,162000,2.4111,-35.5
163,164000,7.18,-64.0
165,166000,-0.97,-140.0
167,168000,2.7913,-31.5
169,170000,-0.6768,0.0
171,172000,-5.6687,-67.5
173,174000,-0.0434,-45.5
175,176000,0.641,-33.5
177,178000,1.7894,-18.5
179,180000,-0.005,-137.5
181,182000,-5.1196,0.0
183,184000,0.3316,0.0
185,186000,2.5857,-34.0
187,188000,6.8929,-87.5
189,190000,1.926,-64.0
191,192000,0.6078,-44.5
193,194000,1.1305,-13.5
195,196000,-3.5395,-59.0
197,198000,5.5461,-241.0
199,200000,2.8069,-137.0
201,202000,4.3017,-86.0
203,204000,2.8167,-126.0
205,206000,2.6854,-21.5
207,208000,1.9544,-57.5
209,210000,0.5429,-9.0
211,212000,4.7138,-64.0
213,214000,5.0705,-95.0
215,216000,-4.2615,-42.5
217,218000,3.9066,-211.0
219,220000,3.6166,-25.0
221,222000,1.6952,-105.0
223,224000,1.7827,-369.0
225,226000,7.8984,-128.0
227,228000,11.3073,-59.5
229,230000,-6.1765,0.0
231,232000,3.2564,-164.5
233,234000,4.0998,-174.0
235,236000,2.7139,-38.0
237,238000,7.3385,-111.5
239,240000,3.1352,-77.5
241,242000,4.9787,-22.5
243,244000,2.9143,-75.0
245,246000,4.2918,-135.5
247,248000,2.1874,-79.0
249,250000,1.5185,-85.0
251,252000,4.7995,-126.5
253,254000,-0.4499,-156.5
255,256000,4.1176,-52.5
257,258000,2.4398,-195.5
259,260000,1.9995,-57.5
261,262000,-0.8544,-101.5
263,264000,1.8125,-233.0
265,266000,2.3644,-64.5
267,268000,-2.0121,-65.5
269,270000,1.1345,-232.0
271,272000,1.1867,-63.0
273,274000,1.6819,-319.0
275,276000,6.6172,-300.0
277,278000,0.7983,-88.5
279,280000,4.4862,-155.5
281,282000,2.1751,-110.0
283,284000,5.0599,-273.0
285,286000,0.2822,-11.5
287,288000,-1.7649,-245.5
289,290000,6.0698,-308.5
291,292000,7.8268,-42.0
293,294000,1.4343,-113.0
295,296000,4.5799,-130.5
297,298000,2.3532,-194.0
299,300000,4.5279,-67.5
301,302000,1.5668,-44.0
303,304000,9.2382,-85.5
305,306000,4.5609,-101.0
307,308000,4.7548,-251.0
309,310000,4.4196,-16.0
311,312000,3.1182,-43.5
313,314000,6.0155,-213.0
315,316000,0.8597,-67.0
317,318000,2.1262,-53.0
319,320000,3.3327,-33.5
321,322000,9.6183,-73.0
323,324000,8.3315,-119.0
325,326000,8.0582,-65.5
327,328000,8.7297,-77.5
329,330000,-6.1361,0.0
331,332000,7.3125,-12.5
333,334000,5.5098,-79.0
