episode,timestep,reward,cost
19,20000,-2.9932,-46.4211
39,40000,-3.1243,-35.5
59,60000,-0.6707,-44.9
79,80000,-0.7409,-49.95
99,100000,0.8252,-80.4
119,120000,1.173,-106.3
139,140000,2.5985,-93.75
159,160000,2.6995,-80.05
179,180000,3.4783,-82.4
199,200000,3.8283,-68.25
219,220000,5.872,-57.55
239,240000,5.2054,-81.45
259,260000,6.3648,-78.35
279,280000,7.003,-75.75
299,300000,8.5123,-87.05
319,320000,8.0925,-45.0
339,340000,9.3812,-69.4
359,360000,9.7348,-46.15
379,380000,10.7982,-67.8
399,400000,11.0941,-73.55
419,420000,13.0323,-41.65
439,440000,12.0848,-52.35
459,460000,12.8613,-54.7
479,480000,13.2708,-59.8
499,500000,13.4121,-47.55
519,520000,13.4523,-44.55
539,540000,14.4316,-65.2
559,560000,14.5389,-82.25
579,580000,14.3606,-66.25
599,600000,15.0758,-38.4
619,620000,16.5134,-57.3
639,640000,15.9232,-44.95
659,660000,15.9469,-65.0
679,680000,15.7799,-63.1
699,700000,16.4772,-49.8
719,720000,15.4801,-51.1
739,740000,15.9438,-59.7
759,760000,17.079,-49.75
779,780000,17.1008,-41.1
799,800000,17.2645,-71.15
819,820000,17.4957,-55.35
839,840000,17.0833,-62.45
859,860000,17.4939,-68.0
879,880000,17.8274,-54.55
899,900000,18.417,-72.25
919,920000,18.9591,-79.3
939,940000,18.6052,-38.3
959,960000,18.1794,-90.8
979,980000,19.4452,-55.4
999,1000000,18.0602,-42.5
1019,1020000,19.304,-47.8
1039,1040000,19.2006,-49.8
1059,1060000,18.9552,-75.2
1079,1080000,18.9107,-74.45
1099,1100000,19.2157,-64.1
1119,1120000,20.0069,-53.05
1139,1140000,20.8015,-47.15
1159,1160000,19.8735,-54.45
1179,1180000,19.6538,-50.7
1199,1200000,19.768,-52.0
1219,1220000,19.3076,-60.65
1239,1240000,19.9774,-51.65
1259,1260000,21.0228,-44.15
1279,1280000,20.7247,-57.2
1299,1300000,21.245,-59.7
1319,1320000,21.6446,-69.0
1339,1340000,21.6145,-54.85
1359,1360000,20.9201,-58.2
1379,1380000,21.9035,-44.25
1399,1400000,22.3634,-62.25
1419,1420000,20.9378,-64.8
1439,1440000,21.5891,-66.1
1459,1460000,21.351,-57.2
1479,1480000,22.4074,-61.05
1499,1500000,21.3773,-49.45
1519,1520000,22.3008,-65.05
1539,1540000,21.8122,-64.3
1559,1560000,22.3982,-53.95
1579,1580000,22.0514,-54.5
1599,1600000,22.1494,-65.0
1619,1620000,22.1563,-76.5
1639,1640000,21.7606,-56.95
1659,1660000,21.9294,-56.45
1679,1680000,22.2656,-60.35
1699,1700000,22.9301,-53.8
1719,1720000,22.0137,-61.7
1739,1740000,22.8925,-55.75
1759,1760000,22.7444,-70.95
1779,1780000,22.8333,-64.95
1799,1800000,22.8196,-50.55
1819,1820000,23.0693,-71.4
1839,1840000,22.5498,-51.75
1859,1860000,23.1046,-73.05
1879,1880000,23.9065,-41.5
1899,1900000,22.8261,-60.0
1919,1920000,23.4506,-62.85
1939,1940000,22.5974,-46.85
1959,1960000,23.0304,-59.0
