episode,timestep,reward,cost
431,432000,17.7866,-100.0
433,434000,22.0839,-69.5
435,436000,21.1017,-67.0
437,438000,17.3038,-76.0
439,440000,16.3523,-98.5
441,442000,18.8877,-105.5
443,444000,16.9593,-125.0
445,446000,16.7988,-44.0
447,448000,20.2419,-48.0
449,450000,17.6065,-112.0
451,452000,20.2247,-30.0
453,454000,11.1439,-129.0
455,456000,17.1751,-49.0
457,458000,19.7574,-82.0
459,460000,19.3792,-73.5
461,462000,20.6131,-144.5
463,464000,19.5989,-134.5
465,466000,20.9825,-78.0
467,468000,21.2836,-52.0
469,470000,21.5954,-49.5
471,472000,21.2979,-68.0
473,474000,20.6426,-92.5
475,476000,21.0859,-34.5
477,478000,19.0656,-51.0
479,480000,21.5205,-73.0
481,482000,22.0746,-64.5
483,484000,20.1623,-109.5
485,486000,22.1808,-59.5
487,488000,21.8613,-48.5
489,490000,22.0427,-55.5
491,492000,19.8761,-45.0
493,494000,20.5256,-54.5
495,496000,23.1443,-70.5
497,498000,17.8367,-75.0
499,500000,18.1519,-65.5
501,502000,18.7174,-101.0
503,504000,22.0302,-53.0
505,506000,21.0751,-96.0
507,508000,20.9369,-90.0
509,510000,18.558,-101.5
511,512000,19.1298,-208.0
513,514000,19.9936,-55.5
515,516000,19.6671,-48.0
517,518000,19.1142,-66.0
519,520000,20.283,-121.0
521,522000,19.8334,-93.5
523,524000,20.0029,-117.5
525,526000,17.9187,-100.0
527,528000,17.2408,-22.5
529,530000,23.0636,-119.5
531,532000,21.8663,-27.5
533,534000,19.5423,-73.0
535,536000,22.2843,-34.0
537,538000,23.0444,-76.0
539,540000,20.8012,-49.0
541,542000,20.08,-49.0
543,544000,22.5446,-40.5
545,546000,19.6155,-95.0
547,548000,16.5454,-160.0
549,550000,22.2635,-38.5
551,552000,20.9699,-32.0
553,554000,18.375,-62.5
555,556000,21.9563,-41.0
557,558000,21.6656,-31.5
559,560000,17.1665,-161.0
561,562000,22.2269,-109.0
563,564000,21.7786,-81.0
565,566000,22.347,-53.0
567,568000,21.4578,-36.5
569,570000,22.4984,-45.0
571,572000,22.5611,-17.5
573,574000,20.4826,-144.5
575,576000,17.7061,-48.5
577,578000,20.9246,-102.5
579,580000,18.373,-88.5
581,582000,20.146,-91.5
583,584000,22.8087,-32.0
585,586000,20.0614,-11.5
587,588000,22.3768,-105.0
589,590000,21.7704,-48.0
591,592000,21.556,-78.0
593,594000,22.961,-44.0
595,596000,19.4398,-45.0
597,598000,21.311,-50.0
599,600000,20.4724,-56.5
601,602000,23.5337,-49.0
603,604000,22.9144,-38.0
605,606000,22.5015,-71.0
607,608000,20.1875,-124.5
609,610000,22.6711,-48.0
611,612000,21.474,-60.5
613,614000,20.8095,-116.5
615,616000,21.4747,-97.5
617,618000,17.2148,-21.5
619,620000,19.8856,-78.5
621,622000,20.4134,-45.0
623,624000,22.7858,-74.0
625,626000,11.1788,-338.5
627,628000,21.0161,-72.0
629,630000,21.272,-42.5
631,632000,22.2865,-102.0
633,634000,21.5614,-47.0
635,636000,23.7654,-31.0
637,638000,22.5305,-107.0
639,640000,22.2931,-40.5
641,642000,22.2831,-30.5
643,644000,23.1602,-36.5
645,646000,24.6498,-43.5
647,648000,20.1183,-26.0
649,650000,21.4792,-45.5
651,652000,17.3242,-21.0
653,654000,20.9663,-40.0
655,656000,21.5808,-73.5
657,658000,22.6926,-44.0
659,660000,21.1614,-58.5
661,662000,15.4112,-35.5
663,664000,22.5306,-58.5
665,666000,22.398,-32.0
667,668000,25.0192,-56.0
669,670000,23.1386,-12.0
671,672000,25.0503,-58.5
673,674000,24.7878,-21.5
675,676000,22.8675,-92.0
677,678000,22.5335,-95.5
679,680000,21.7356,-70.5
681,682000,21.443,-62.5
683,684000,25.3917,-7.0
685,686000,22.8171,-116.0
687,688000,21.5026,-33.0
689,690000,21.4114,-82.5
691,692000,22.179,-64.5
693,694000,21.4613,-71.5
695,696000,22.6884,-76.5
697,698000,23.564,-55.0
699,700000,22.5762,-31.0
701,702000,21.5734,-61.5
703,704000,23.4357,-37.5
705,706000,22.542,-77.0
707,708000,20.9818,-100.0
709,710000,23.7436,-18.5
711,712000,21.7108,-61.0
713,714000,23.2138,-88.5
715,716000,23.283,-105.5
717,718000,18.362,-89.0
719,720000,22.2516,-79.0
721,722000,22.8211,-49.0
723,724000,21.3977,-56.0
725,726000,20.7125,-60.0
727,728000,22.0763,-36.0
729,730000,21.3907,-89.5
731,732000,20.5584,-63.5
733,734000,23.076,-86.5
735,736000,22.334,-66.5
737,738000,22.0029,-34.0
739,740000,23.4781,-23.5
741,742000,21.6738,-78.0
743,744000,20.5929,-75.0
745,746000,20.858,-81.5
747,748000,24.5008,-56.0
749,750000,21.6633,-56.5
751,752000,20.6167,-82.5
753,754000,22.6712,-30.0
755,756000,22.3102,-148.0
757,758000,23.8887,-81.5
759,760000,22.3857,-104.0
761,762000,20.7176,-97.5
763,764000,24.3241,-57.0
765,766000,23.8826,-68.0
767,768000,19.5441,-46.0
769,770000,21.6055,-122.0
771,772000,19.0753,-136.5
773,774000,21.4051,-27.0
775,776000,22.6217,-116.0
777,778000,22.9123,-30.0
779,780000,23.6302,-45.5
781,782000,20.2941,-91.5
783,784000,23.7764,-37.0
785,786000,24.3429,-60.5
787,788000,24.4732,-59.5
789,790000,22.214,-49.0
791,792000,23.6738,-59.5
793,794000,21.6674,-64.5
795,796000,24.7182,-115.0
797,798000,22.6636,-24.0
799,800000,23.1192,-54.0
801,802000,21.996,-63.5
803,804000,22.9295,-37.0
805,806000,22.664,-81.0
807,808000,23.7251,-115.0
809,810000,24.5596,-76.5
811,812000,23.2145,-68.5
813,814000,23.2622,-27.0
815,816000,20.4946,-74.5
817,818000,24.8349,-24.0
819,820000,22.7916,-99.0
821,822000,21.4559,-63.5
823,824000,21.192,-112.5
825,826000,13.3489,-44.5
827,828000,22.5449,-107.5
829,830000,24.7007,-56.5
831,832000,24.1239,-62.5
833,834000,21.7383,-25.5
835,836000,23.5563,-120.0
837,838000,20.8967,-52.0
839,840000,23.8844,-29.5
841,842000,23.1286,-52.5
843,844000,21.9857,-56.0
845,846000,22.9788,-28.5
847,848000,25.3714,-72.0
849,850000,23.2213,-65.5
851,852000,22.2724,-35.5
853,854000,23.4761,-69.0
855,856000,21.8686,-133.0
857,858000,21.9013,-76.5
859,860000,23.9926,-33.5
861,862000,20.1104,-86.0
863,864000,23.7241,-47.5
865,866000,21.71,-116.0
867,868000,25.1853,-39.0
869,870000,23.2484,-112.5
871,872000,24.1836,-71.0
873,874000,21.7632,-141.0
875,876000,22.6921,-59.0
877,878000,23.083,-54.5
879,880000,23.4188,-74.0
881,882000,24.6629,-105.5
883,884000,23.0217,-81.0
885,886000,21.9244,-100.5
887,888000,21.5247,-35.0
889,890000,22.6484,-31.5
891,892000,21.0172,-95.0
893,894000,23.1435,-37.0
895,896000,23.2785,-45.0
897,898000,21.3662,-14.5
899,900000,23.496,-81.5
901,902000,23.6475,-30.5
903,904000,21.7048,-70.5
905,906000,24.231,-19.5
907,908000,23.6582,-40.5
909,910000,25.0239,-31.0
911,912000,25.7179,-40.5
913,914000,16.6162,-199.0
915,916000,26.8566,-61.0
917,918000,19.125,-57.0
919,920000,25.5651,-85.5
921,922000,21.6751,-28.0
923,924000,24.7421,-70.0
925,926000,22.0899,-36.5
927,928000,23.9296,-37.0
929,930000,23.6253,-71.0
931,932000,14.5517,-131.0
933,934000,23.8814,-74.5
935,936000,23.2248,-82.5
937,938000,23.0933,-30.5
939,940000,24.3946,-48.5
941,942000,21.0128,-87.5
943,944000,23.7314,-40.0
945,946000,19.4097,-103.5
947,948000,21.6262,-15.5
949,950000,22.1668,-109.0
951,952000,25.2835,-90.5
953,954000,23.6504,-28.0
955,956000,24.0521,-31.5
957,958000,22.2873,-55.5
959,960000,23.2798,-75.0
961,962000,25.8427,-73.5
963,964000,22.8645,-39.5
965,966000,24.2818,-20.0
967,968000,21.5477,-37.0
969,970000,23.4473,-62.0
971,972000,20.5955,-7.5
973,974000,24.4951,-30.0
975,976000,23.8983,-76.0
977,978000,22.3291,-62.5
979,980000,22.737,-35.0
981,982000,22.9629,-22.5
