episode,timestep,reward,cost
1,2000,-3.3104,0.0
3,4000,0.1156,0.0
5,6000,-2.932,-73.0
7,8000,0.3641,-103.0
9,10000,-1.1487,-23.0
11,12000,-3.8487,0.0
13,14000,-1.491,-34.5
15,16000,-1.0123,-13.5
17,18000,-1.4138,-37.0
19,20000,-1.2115,-73.0
21,22000,0.6641,0.0
23,24000,-1.0755,-11.0
25,26000,0.6533,-32.0
27,28000,1.3055,-53.5
29,30000,0.026,-11.5
31,32000,0.6315,0.0
33,34000,0.1458,0.0
35,36000,-4.543,-35.0
37,38000,-5.0507,-16.5
39,40000,-4.7833,-17.5
41,42000,-2.3773,-204.5
43,44000,-7.7178,0.0
45,46000,-6.3652,-18.5
47,48000,-3.4972,-12.0
49,50000,-7.9828,0.0
51,52000,-1.0754,-12.0
53,54000,-5.1107,-21.5
55,56000,-0.6695,-158.0
57,58000,-1.6011,-210.5
59,60000,-1.3877,-91.0
61,62000,-5.0444,-177.0
63,64000,-4.0926,0.0
65,66000,-0.4323,-27.0
67,68000,-4.6009,0.0
69,70000,-7.2594,0.0
71,72000,-3.2303,-41.0
73,74000,-0.9937,-84.5
75,76000,-2.5153,-332.5
77,78000,-2.3654,-25.5
79,80000,-1.3478,-35.0
81,82000,-2.849,0.0
83,84000,0.0907,-391.5
85,86000,-4.6132,-2.0
87,88000,-3.3398,0.0
89,90000,-3.6132,-161.0
91,92000,-1.7386,-90.0
93,94000,-2.334,-51.0
95,96000,-1.5236,-216.0
97,98000,-0.5251,-67.0
99,100000,-0.6081,-61.5
101,102000,-4.6341,-105.0
103,104000,-0.5916,-83.0
105,106000,-1.3033,0.0
107,108000,-0.8228,-32.0
109,110000,-4.3594,0.0
111,112000,-1.3924,-49.0
113,114000,0.543,-149.0
115,116000,0.4673,-16.5
117,118000,-2.4225,0.0
119,120000,0.3076,-19.5
121,122000,-1.4941,-21.5
123,124000,0.6674,0.0
125,126000,-0.4163,0.0
127,128000,-0.1376,-195.5
129,130000,1.0608,0.0
131,132000,0.1346,-21.5
133,134000,1.6232,-16.0
135,136000,1.3051,0.0
137,138000,1.1667,-76.0
139,140000,-0.8542,0.0
141,142000,-0.1875,-106.5
143,144000,-0.8719,-94.5
145,146000,2.6496,-216.5
147,148000,1.6106,-98.5
149,150000,1.5638,0.0
151,152000,-2.4584,-316.0
153,154000,-0.1434,-80.5
155,156000,4.1075,-220.5
157,158000,1.8094,-202.5
159,160000,0.8749,-102.0
161,162000,3.6375,-236.0
163,164000,-0.6536,-108.0
165,166000,5.6184,-13.5
167,168000,2.1916,-10.0
169,170000,0.4206,-21.5
171,172000,2.5605,-77.0
173,174000,2.1332,-94.0
175,176000,0.7858,-285.0
177,178000,-0.9029,-23.0
179,180000,1.2776,-18.5
181,182000,2.7403,-254.5
183,184000,0.6015,-73.0
185,186000,3.1524,-378.5
187,188000,3.6477,-170.0
189,190000,2.7834,-167.0
191,192000,1.499,-137.5
193,194000,0.938,-160.0
195,196000,1.004,-193.0
197,198000,3.6404,-6.0
199,200000,-0.0836,0.0
201,202000,5.0609,-66.0
203,204000,2.1866,-33.5
205,206000,0.7717,-301.0
207,208000,3.6976,0.0
209,210000,-0.0076,-78.0
211,212000,1.0991,-231.5
213,214000,1.8831,-64.0
215,216000,1.7586,-48.0
217,218000,3.3318,-34.5
219,220000,2.2264,-16.5
221,222000,5.4059,-38.0
223,224000,-0.2718,-13.0
225,226000,3.2575,-68.5
227,228000,1.8385,-105.0
229,230000,2.5188,0.0
231,232000,2.0005,-337.0
233,234000,6.1445,-133.5
235,236000,3.1099,-2.5
237,238000,0.57,-97.5
239,240000,0.8262,-13.0
241,242000,2.683,-21.0
243,244000,0.2316,-35.5
