episode,timestep,reward,cost
1,2000,0.3852,-20.0
3,4000,0.2702,-59.0
5,6000,1.5887,-224.5
7,8000,1.447,-98.0
9,10000,1.2487,-256.0
11,12000,1.9875,-17.5
13,14000,2.9771,-154.5
15,16000,2.1617,-29.5
17,18000,3.2843,-55.5
19,20000,1.6887,-117.0
21,22000,3.479,-3.5
23,24000,-0.6703,-196.0
25,26000,0.3202,-288.5
27,28000,2.893,-107.5
29,30000,6.1855,-10.0
31,32000,4.7824,-57.0
33,34000,4.7471,-96.5
35,36000,10.2369,-11.5
37,38000,3.4522,-207.5
39,40000,0.1286,-25.5
41,42000,4.8423,-105.5
43,44000,2.2186,-157.0
45,46000,5.7217,-70.0
47,48000,1.7172,-109.5
49,50000,4.7603,-31.0
51,52000,3.8933,-13.0
53,54000,8.3881,-42.0
55,56000,6.8222,-33.0
57,58000,3.0364,-124.0
59,60000,9.3524,-115.5
61,62000,10.1877,-29.5
63,64000,6.0861,-77.0
65,66000,2.9863,-59.5
67,68000,7.4185,-206.0
69,70000,12.5891,-61.0
71,72000,2.8808,-87.0
73,74000,4.7982,-136.0
75,76000,6.7001,-14.5
77,78000,7.2559,-402.5
79,80000,11.7835,-63.0
81,82000,8.3698,-58.0
83,84000,7.5779,-57.0
85,86000,9.1521,-180.5
87,88000,5.908,-128.5
89,90000,10.7198,-58.0
91,92000,8.1874,-117.5
93,94000,12.1505,-87.0
95,96000,8.5331,-121.5
97,98000,8.7971,-12.0
99,100000,9.5269,-47.0
101,102000,12.1199,-108.0
103,104000,13.871,-95.5
105,106000,15.8554,0.0
107,108000,13.0511,-76.5
109,110000,12.9434,-18.0
111,112000,2.3649,-5.0
113,114000,8.3702,-105.0
115,116000,6.4682,-27.5
117,118000,7.9455,-30.0
119,120000,9.2977,-16.0
121,122000,14.5157,-81.0
123,124000,13.212,-106.0
125,126000,11.4376,-38.5
127,128000,12.9975,-31.5
129,130000,13.2741,-39.5
131,132000,14.8969,-5.5
133,134000,13.4455,-32.5
135,136000,7.1258,-19.5
137,138000,15.3888,-41.0
139,140000,7.384,-14.5
141,142000,13.731,-34.5
143,144000,-2.2935,-18.5
145,146000,17.56,-59.0
147,148000,0.373,-59.5
149,150000,7.2874,-51.5
151,152000,8.2749,-32.0
153,154000,19.1254,-23.0
155,156000,15.5071,-68.5
157,158000,6.194,-25.5
159,160000,7.0524,-40.5
161,162000,4.5373,-161.5
163,164000,11.1534,-53.5
165,166000,17.3884,-134.5
167,168000,11.2272,-95.5
169,170000,15.9561,-100.5
171,172000,9.862,-230.0
173,174000,12.6983,-66.5
175,176000,17.7447,-94.5
177,178000,8.5085,-39.5
179,180000,16.4464,-62.0
181,182000,5.9518,-75.5
183,184000,17.4911,-46.0
185,186000,12.7944,-54.0
187,188000,11.9177,-56.5
189,190000,18.4372,-71.0
191,192000,16.2195,-42.5
193,194000,18.0262,-59.5
195,196000,10.6296,-87.5
197,198000,17.0264,-94.5
199,200000,20.3823,-77.5
201,202000,11.3989,-37.5
203,204000,15.1672,-95.5
205,206000,11.0974,-138.5
207,208000,7.9561,-52.5
209,210000,12.1198,-263.5
211,212000,20.6256,-52.5
213,214000,16.4655,-80.5
215,216000,20.1519,-90.5
217,218000,13.1102,-19.0
219,220000,3.7648,0.0
221,222000,9.3022,0.0
223,224000,18.8399,-70.0
225,226000,7.5714,-9.0
227,228000,18.3138,-123.5
229,230000,15.9022,-94.0
231,232000,17.3284,-104.0
233,234000,14.3353,-57.0
235,236000,12.2218,-157.0
237,238000,13.5554,-12.5
239,240000,2.7679,-19.0
241,242000,12.905,-18.0
243,244000,10.5084,-52.0
245,246000,20.5473,-111.5
247,248000,18.6679,-63.5
249,250000,15.4586,-63.5
251,252000,13.4617,-121.5
253,254000,13.7535,-78.5
255,256000,16.0545,-75.0
257,258000,16.4553,-120.0
259,260000,21.2733,-25.0
261,262000,19.9895,-89.0
263,264000,20.2332,-44.5
265,266000,18.2286,-38.5
267,268000,19.0499,-80.5
269,270000,16.7868,-19.0
271,272000,15.8453,-79.0
273,274000,21.5779,-32.5
275,276000,15.1201,-74.5
277,278000,8.3349,-280.0
279,280000,13.2227,-103.5
281,282000,22.2171,-64.0
283,284000,15.7856,-81.5
285,286000,22.29,-38.0
287,288000,17.2517,-90.0
289,290000,11.275,-74.0
291,292000,19.3112,-26.0
293,294000,10.3219,-65.0
295,296000,13.3961,-69.0
297,298000,20.0853,-120.0
299,300000,14.5743,-108.5
301,302000,18.2691,-44.0
303,304000,9.7531,-343.5
305,306000,8.3908,-361.5
307,308000,8.4924,-77.0
309,310000,20.4979,-40.0
311,312000,14.9413,-18.5
313,314000,14.9649,-51.5
315,316000,16.753,-126.5
317,318000,18.3741,-121.0
319,320000,16.7403,-66.0
321,322000,20.5485,-84.5
323,324000,16.6008,-114.5
325,326000,20.1912,-71.0
327,328000,12.6783,-146.5
329,330000,14.8282,-219.5
331,332000,16.1629,-44.5
333,334000,17.3713,-104.0
335,336000,16.5691,-37.5
337,338000,19.0267,-60.5
339,340000,18.7577,-72.0
341,342000,17.9193,-83.5
343,344000,19.5539,-18.5
345,346000,19.9594,-63.5
347,348000,15.2044,-134.5
349,350000,19.775,-88.5
351,352000,6.5954,-327.5
353,354000,10.7374,-53.0
355,356000,19.3447,-50.0
357,358000,17.439,-80.0
359,360000,18.5674,-117.0
361,362000,17.8747,-80.5
363,364000,16.987,-139.0
365,366000,15.4785,-54.0
367,368000,15.6688,-67.0
369,370000,18.1099,-52.0
371,372000,18.7593,-43.0
373,374000,11.8074,-68.5
375,376000,16.8491,-116.0
377,378000,19.4094,-87.5
379,380000,18.638,-34.0
381,382000,7.0642,-25.5
383,384000,16.9179,-107.5
385,386000,18.7074,-119.0
387,388000,14.0052,-61.0
389,390000,14.8856,-15.0
391,392000,17.6068,-42.5
393,394000,15.467,-75.0
395,396000,20.1449,-89.0
