episode,timestep,reward,cost
19,20000,-0.2135,-117.2105
39,40000,-0.0897,-80.9
59,60000,0.2183,-73.9
79,80000,-0.448,-71.35
99,100000,-0.1483,-48.35
119,120000,-0.0131,-63.85
139,140000,0.2265,-79.05
159,160000,0.2199,-93.35
179,180000,0.7693,-62.25
199,200000,-0.0137,-106.35
219,220000,0.0751,-59.4
239,240000,0.4385,-64.1
259,260000,0.1624,-49.05
279,280000,-0.3253,-50.35
299,300000,1.4175,-52.7
319,320000,0.8703,-76.45
339,340000,0.6483,-67.5
359,360000,0.287,-80.35
379,380000,1.3578,-53.5
399,400000,0.5589,-68.6
419,420000,0.8994,-58.65
439,440000,0.9308,-38.5
459,460000,0.1874,-53.7
479,480000,1.0973,-39.1
499,500000,-0.1802,-88.0
519,520000,0.1505,-51.6
539,540000,0.1294,-58.15
559,560000,0.7866,-63.8
579,580000,0.7863,-32.1
599,600000,0.4156,-85.8
619,620000,1.0139,-64.8
639,640000,-0.1012,-72.35
659,660000,0.5907,-54.15
679,680000,-0.1293,-39.3
699,700000,0.6367,-61.1
719,720000,0.4194,-39.45
739,740000,0.5089,-62.95
759,760000,-0.0368,-73.25
779,780000,0.274,-54.6
799,800000,-0.575,-50.2
819,820000,0.7914,-55.9
839,840000,1.025,-72.7
859,860000,-0.341,-81.45
879,880000,-0.146,-63.15
899,900000,0.104,-73.95
919,920000,0.4008,-56.2
939,940000,0.4639,-71.6
959,960000,0.1242,-42.75
979,980000,-0.0007,-84.15
999,1000000,0.2853,-109.25
1019,1020000,0.0767,-57.45
1039,1040000,0.4609,-72.35
1059,1060000,0.7144,-60.6
1079,1080000,-0.4271,-66.6
1099,1100000,0.2739,-77.2
1119,1120000,0.9634,-76.95
1139,1140000,-0.0017,-80.2
1159,1160000,0.3404,-77.95
1179,1180000,0.4232,-140.45
1199,1200000,-0.2411,-66.25
1219,1220000,0.6468,-67.85
1239,1240000,0.2986,-85.35
1259,1260000,-0.1382,-48.35
1279,1280000,0.3588,-55.95
1299,1300000,-0.075,-71.4
1319,1320000,0.8992,-93.4
1339,1340000,-0.0437,-82.8
1359,1360000,-0.597,-90.75
1379,1380000,0.1159,-40.9
1399,1400000,-0.1969,-78.4
1419,1420000,-0.5324,-34.0
1439,1440000,0.0875,-61.95
1459,1460000,0.3342,-73.65
1479,1480000,0.1592,-91.55
1499,1500000,-0.4156,-62.25
1519,1520000,-0.0968,-45.45
1539,1540000,0.4146,-33.35
1559,1560000,-0.6249,-54.8
1579,1580000,0.2791,-99.95
1599,1600000,-0.1761,-75.6
1619,1620000,-0.1039,-41.2
1639,1640000,-0.2327,-48.3
1659,1660000,0.026,-81.6
1679,1680000,0.2544,-62.25
1699,1700000,0.0939,-33.3
1719,1720000,0.5138,-76.0
1739,1740000,0.4571,-75.0
1759,1760000,-0.4316,-54.5
1779,1780000,0.1512,-36.25
1799,1800000,-0.3095,-56.55
1819,1820000,0.2976,-39.9
1839,1840000,-0.2092,-46.05
1859,1860000,0.2571,-72.75
1879,1880000,-0.4021,-52.4
1899,1900000,-0.2317,-36.65
1919,1920000,0.0714,-46.6
1939,1940000,0.554,-34.65
1959,1960000,0.2028,-58.85
1979,1980000,0.0324,-40.95
1999,2000000,-0.1521,-71.2
2019,2020000,0.1307,-53.05
2039,2040000,0.1357,-59.1
2059,2060000,-0.535,-81.0
2079,2080000,0.0577,-82.9
2099,2100000,-0.0661,-24.4
2119,2120000,0.1771,-58.5
2139,2140000,0.0696,-54.05
2159,2160000,0.8326,-52.35
2179,2180000,0.8353,-55.4
2199,2200000,-0.4928,-52.95
2219,2220000,0.1794,-80.7
2239,2240000,0.4646,-67.35
2259,2260000,-0.2308,-34.9
2279,2280000,0.3824,-47.05
2299,2300000,0.5276,-32.35
2319,2320000,0.0643,-48.6
2339,2340000,0.0372,-62.65
2359,2360000,0.0623,-57.5
2379,2380000,-0.1928,-50.5
2399,2400000,0.0459,-59.2
2419,2420000,0.0924,-47.85
2439,2440000,0.2513,-41.75
2459,2460000,0.1172,-61.85
2479,2480000,0.0178,-27.25
2499,2500000,-0.1748,-66.45
2519,2520000,-0.111,-44.35
2539,2540000,-0.384,-23.6
2559,2560000,-0.0336,-55.5
2579,2580000,-0.0489,-44.3
2599,2600000,-0.093,-19.75
2619,2620000,-0.0672,-80.3
2639,2640000,0.2846,-32.75
2659,2660000,-0.3844,-59.15
2679,2680000,0.941,-50.85
2699,2700000,-0.2045,-47.35
2719,2720000,-0.4265,-22.1
2739,2740000,-0.3343,-68.2
2759,2760000,-0.6086,-38.55
2779,2780000,-0.0629,-44.85
2799,2800000,-0.3916,-59.05
2819,2820000,-0.5691,-35.55
2839,2840000,0.1241,-42.25
2859,2860000,-0.0719,-61.7
2879,2880000,-0.295,-31.8
2899,2900000,-0.4276,-55.95
2919,2920000,-0.0767,-49.95
2939,2940000,-0.1839,-41.65
2959,2960000,-0.2171,-44.45
2979,2980000,-0.0244,-65.4
2999,3000000,-0.5563,-47.85
3019,3020000,0.1279,-29.65
3039,3040000,-0.3371,-37.8
3059,3060000,-0.1129,-54.75
3079,3080000,0.5544,-75.75
3099,3100000,-0.2237,-12.9
3119,3120000,-0.0945,-60.1
3139,3140000,-0.5799,-46.0
3159,3160000,0.4886,-61.0
3179,3180000,0.3249,-12.3
3199,3200000,0.1886,-40.0
3219,3220000,-0.0844,-37.45
3239,3240000,0.0996,-45.5
3259,3260000,-0.0838,-63.4
3279,3280000,-0.3506,-81.35
3299,3300000,-0.5291,-39.4
3319,3320000,-0.0163,-17.85
3339,3340000,0.1512,-64.6
3359,3360000,-0.1922,-62.8
3379,3380000,-0.1901,-43.9
3399,3400000,-0.4842,-69.2
3419,3420000,-0.2639,-31.6
3439,3440000,-0.5963,-89.5
3459,3460000,-0.2304,-19.9
3479,3480000,-0.4328,-30.55
3499,3500000,-0.6411,-43.2
3519,3520000,0.1318,-15.0
3539,3540000,-0.1355,-46.35
3559,3560000,-0.6434,-71.2
3579,3580000,0.2423,-48.0
3599,3600000,-0.2692,-11.35
3619,3620000,0.2067,-64.7
3639,3640000,0.0109,-51.7
3659,3660000,0.3113,-50.45
3679,3680000,-0.0764,-30.5
3699,3700000,-0.2215,-33.0
3719,3720000,0.123,-25.7
3739,3740000,0.1405,-62.7
3759,3760000,0.0567,-37.0
3779,3780000,-0.1556,-81.9
3799,3800000,0.2092,-58.6
3819,3820000,-0.1024,-26.8
3839,3840000,-0.968,-53.0
3859,3860000,0.1282,-56.7
3879,3880000,-0.0543,-30.65
3899,3900000,-0.1741,-45.75
3919,3920000,0.0149,-32.8
3939,3940000,-0.2618,-29.25
3959,3960000,0.1044,-49.35
3979,3980000,0.3623,-24.55
3999,4000000,-0.3562,-72.65
4019,4020000,-0.0931,-31.95
4039,4040000,0.2931,-52.35
4059,4060000,-0.0077,-28.7
4079,4080000,-0.4615,-32.4
4099,4100000,-0.0814,-56.05
4119,4120000,0.1841,-21.7
4139,4140000,0.2456,-57.6
4159,4160000,-0.067,-24.7
4179,4180000,-0.2614,-65.35
4199,4200000,0.2753,-18.85
4219,4220000,-0.0901,-19.1
4239,4240000,0.1585,-47.0
4259,4260000,0.1265,-11.45
4279,4280000,-0.1631,-26.15
4299,4300000,-0.5289,-25.7
4319,4320000,-0.0627,-55.5
4339,4340000,-0.2383,-51.2
4359,4360000,-0.0633,-38.25
4379,4380000,-0.0691,-54.75
4399,4400000,-0.5836,-57.75
4419,4420000,-0.0443,-30.2
4439,4440000,-0.3056,-56.3
4459,4460000,-0.1785,-32.05
4479,4480000,-0.1348,-50.45
4499,4500000,-0.2537,-45.65
4519,4520000,-0.3201,-42.05
4539,4540000,-0.4554,-35.45
4559,4560000,0.0033,-29.9
4579,4580000,-0.0114,-51.9
4599,4600000,-0.2578,-90.85
4619,4620000,-0.0705,-40.2
4639,4640000,-0.4637,-20.25
4659,4660000,0.0252,-47.4
4679,4680000,-0.4159,-46.85
4699,4700000,0.6687,-60.15
4719,4720000,-0.4582,-63.3
4739,4740000,-0.5216,-49.15
4759,4760000,-0.1183,-42.2
4779,4780000,-0.0971,-44.05
4799,4800000,-0.5435,-59.9
4819,4820000,-0.4964,-32.8
4839,4840000,-0.4816,-20.95
4859,4860000,0.2898,-40.65
4879,4880000,0.2391,-51.05
4899,4900000,-0.0243,-25.9
4919,4920000,0.312,-64.1
4939,4940000,-0.3334,-31.5
4959,4960000,0.1036,-22.25
4979,4980000,-0.0683,-61.4
4999,5000000,-0.5608,-99.25
5019,5020000,-0.5476,-37.65
5039,5040000,0.1866,-31.6
5059,5060000,0.4838,-39.55
5079,5080000,0.2751,-60.0
5099,5100000,-0.4729,-32.0
5119,5120000,-0.2407,-35.35
5139,5140000,-0.0943,-25.25
5159,5160000,-0.3514,-33.35
5179,5180000,0.0066,-74.45
5199,5200000,-0.3377,-20.6
5219,5220000,-0.2939,-27.85
5239,5240000,0.0254,-50.85
5259,5260000,0.411,-37.55
5279,5280000,0.2646,-87.3
5299,5300000,-0.5042,-44.6
5319,5320000,0.1368,-78.35
5339,5340000,0.1659,-39.0
5359,5360000,0.3161,-44.5
5379,5380000,-0.0403,-41.6
5399,5400000,-0.4497,-41.95
5419,5420000,-0.0855,-69.95
5439,5440000,0.0338,-21.2
5459,5460000,-0.2375,-38.2
5479,5480000,-0.2729,-32.0
5499,5500000,0.2176,-34.55
5519,5520000,-0.4323,-13.6
5539,5540000,-0.2437,-27.55
5559,5560000,-0.1038,-33.25
5579,5580000,-0.1271,-41.5
5599,5600000,-0.4404,-63.95
5619,5620000,-0.203,-34.65
5639,5640000,-0.198,-33.7
5659,5660000,0.0623,-19.5
5679,5680000,0.0009,-42.45
5699,5700000,-0.3858,-17.05
5719,5720000,0.0026,-11.7
5739,5740000,-0.3924,-68.25
5759,5760000,-0.0766,-18.35
5779,5780000,-0.3338,-37.85
5799,5800000,-0.6604,-92.8
5819,5820000,-0.022,-48.7
5839,5840000,0.2057,-60.65
5859,5860000,0.192,-38.2
5879,5880000,-0.3503,-28.6
5899,5900000,0.3662,-40.2
