episode,timestep,reward,cost
431,432000,2.6131,-15.0
433,434000,4.7912,-24.0
435,436000,1.8864,-19.5
437,438000,0.3593,0.0
439,440000,3.8692,-328.0
441,442000,5.0214,-67.0
443,444000,1.0343,-249.0
445,446000,1.517,0.0
447,448000,3.6395,-21.0
449,450000,4.2605,-26.0
451,452000,2.5656,0.0
453,454000,5.404,-193.0
455,456000,2.1486,-442.0
457,458000,2.853,-39.5
459,460000,0.655,0.0
461,462000,2.5967,-16.0
463,464000,2.0393,0.0
465,466000,0.6478,0.0
467,468000,1.2806,-38.5
469,470000,3.1074,-89.0
471,472000,4.9041,-16.0
473,474000,1.4745,-56.0
475,476000,2.1443,0.0
477,478000,4.7588,-67.5
479,480000,1.8582,-61.0
481,482000,2.8547,-96.0
483,484000,1.1167,-260.0
485,486000,3.5386,-23.5
487,488000,3.8557,-12.5
489,490000,1.6665,-11.0
491,492000,3.7612,0.0
493,494000,3.043,-25.5
495,496000,2.8052,-297.5
497,498000,2.6679,-45.0
499,500000,3.8896,-50.0
501,502000,3.666,-20.5
503,504000,1.4174,-70.5
505,506000,2.4391,-27.5
507,508000,4.9261,-90.0
509,510000,5.7638,-6.0
511,512000,4.1224,-24.0
513,514000,0.4734,-391.0
515,516000,6.594,-27.5
517,518000,5.4605,-119.0
519,520000,4.3431,-33.0
521,522000,4.7261,-69.0
523,524000,4.9498,-78.5
525,526000,4.2635,-51.5
527,528000,7.5302,0.0
529,530000,0.37,0.0
531,532000,0.1713,-91.5
533,534000,4.1443,-168.0
535,536000,6.667,0.0
537,538000,6.2106,-85.0
539,540000,0.4472,-52.5
541,542000,3.0197,-2.5
543,544000,2.6336,0.0
545,546000,6.5133,-100.0
547,548000,1.5001,-25.5
549,550000,-0.1423,0.0
551,552000,7.4789,-101.0
553,554000,4.4356,-47.0
555,556000,4.0049,-205.5
557,558000,1.7921,-43.5
559,560000,3.5605,-27.5
561,562000,4.1245,-61.0
563,564000,-0.7969,-176.5
565,566000,0.2445,0.0
567,568000,1.5892,-85.5
569,570000,1.9552,-49.0
571,572000,1.9579,-6.5
573,574000,-1.3885,0.0
575,576000,4.7964,0.0
577,578000,3.2685,-127.0
579,580000,0.7615,-50.5
581,582000,2.3839,-23.0
583,584000,-1.6786,-75.5
585,586000,-0.5482,-40.5
587,588000,4.7878,-39.0
589,590000,1.3765,0.0
591,592000,1.4382,-87.5
593,594000,5.7644,-35.0
595,596000,-0.4587,0.0
597,598000,-0.4297,0.0
599,600000,1.6955,-24.0
601,602000,2.066,0.0
603,604000,0.7169,-55.0
605,606000,3.263,-19.5
607,608000,1.1842,-41.0
609,610000,0.3245,-14.5
611,612000,2.1078,-306.5
613,614000,1.7271,-245.0
615,616000,2.861,-44.0
617,618000,4.7309,-12.5
619,620000,-0.3001,-147.0
621,622000,3.6873,-10.5
623,624000,4.1412,0.0
625,626000,0.976,-151.5
627,628000,3.6891,-26.5
629,630000,1.8151,-112.5
631,632000,0.6926,-19.5
633,634000,1.7351,0.0
635,636000,0.5738,0.0
637,638000,1.7292,0.0
639,640000,1.5999,0.0
641,642000,4.0801,0.0
643,644000,1.566,-16.5
645,646000,3.3057,0.0
647,648000,0.9306,0.0
649,650000,4.1521,-4.5
651,652000,3.1483,0.0
653,654000,2.881,-14.5
655,656000,2.1044,0.0
657,658000,0.0423,0.0
659,660000,-0.575,-27.0
661,662000,4.9087,-2.0
663,664000,3.73,-71.0
665,666000,7.0649,-84.5
667,668000,2.2923,-67.0
669,670000,2.1689,0.0
671,672000,2.2081,-21.0
673,674000,1.5641,0.0
675,676000,2.4519,-19.0
677,678000,2.9046,-33.5
679,680000,5.7321,-88.0
681,682000,2.526,-47.5
683,684000,0.5131,0.0
685,686000,6.9695,-9.0
687,688000,0.4781,0.0
689,690000,4.6346,-55.0
691,692000,-0.0631,0.0
693,694000,-0.0358,0.0
695,696000,5.6087,-45.0
697,698000,3.4441,-104.5
699,700000,1.9889,0.0
701,702000,4.1088,-95.0
703,704000,-0.0541,0.0
705,706000,7.7249,-30.5
707,708000,4.097,-65.0
709,710000,0.1221,0.0
711,712000,2.6205,-25.5
713,714000,1.0594,0.0
715,716000,0.4416,0.0
717,718000,5.4221,-22.0
719,720000,4.308,-31.5
721,722000,-0.8275,-59.5
723,724000,1.4598,-387.5
725,726000,1.7088,0.0
727,728000,7.0532,-66.5
729,730000,1.9585,0.0
731,732000,7.5854,-15.0
733,734000,0.9567,-122.5
735,736000,3.3996,-56.0
737,738000,2.8109,-95.5
739,740000,3.8516,0.0
741,742000,2.3514,-12.5
743,744000,0.2839,-99.5
745,746000,1.9875,-66.5
747,748000,0.1715,-42.0
749,750000,1.2032,0.0
751,752000,2.1141,-39.5
753,754000,6.0982,-62.0
755,756000,2.7549,0.0
757,758000,2.1115,-12.0
759,760000,2.9123,-18.5
761,762000,2.5286,-57.0
763,764000,2.6896,0.0
765,766000,2.0622,-66.0
767,768000,5.1209,-61.5
769,770000,3.4277,-29.0
771,772000,2.2533,-4.0
773,774000,5.0237,0.0
775,776000,2.9395,-19.0
777,778000,0.1581,0.0
779,780000,7.8789,-24.5
781,782000,0.9037,0.0
783,784000,7.1619,-79.0
785,786000,-1.3867,-467.0
787,788000,9.6361,-14.0
789,790000,1.9139,0.0
791,792000,3.5091,-10.0
793,794000,4.4995,-53.0
795,796000,0.7295,0.0
797,798000,1.5008,-36.5
799,800000,3.0451,-370.5
801,802000,4.6665,0.0
803,804000,0.5366,-16.5
805,806000,9.8936,-8.5
807,808000,1.3148,-98.0
809,810000,3.4488,-11.0
811,812000,2.1906,-38.5
813,814000,7.8569,-17.5
815,816000,2.0876,-20.5
817,818000,5.0689,0.0
819,820000,2.1303,0.0
821,822000,3.2262,-161.5
823,824000,-1.0153,0.0
825,826000,0.5757,-16.5
827,828000,1.1175,-100.0
829,830000,3.0046,-71.0
831,832000,1.0756,-29.0
833,834000,1.6075,-9.0
835,836000,3.846,-120.0
837,838000,5.9165,-9.5
839,840000,-0.3475,0.0
841,842000,1.1578,-19.0
843,844000,4.6181,-10.5
845,846000,2.6572,-94.5
847,848000,3.8268,-50.0
849,850000,6.7816,-10.0
851,852000,3.1907,0.0
853,854000,6.9662,-22.0
855,856000,1.8066,-93.0
857,858000,2.0818,-96.5
859,860000,3.6827,0.0
861,862000,2.362,-60.0
863,864000,7.741,0.0
865,866000,5.6035,-252.5
867,868000,4.159,-338.0
869,870000,2.0166,0.0
871,872000,1.0724,-17.0
873,874000,2.4181,-20.5
875,876000,1.8011,-22.0
877,878000,0.5931,-177.5
879,880000,1.5719,-100.0
881,882000,2.4787,-37.0
883,884000,7.5089,-44.5
885,886000,4.977,-16.0
887,888000,-0.2954,-29.0
889,890000,5.4633,-23.5
891,892000,5.1235,-16.0
893,894000,2.645,-6.5
895,896000,3.7439,-115.5
897,898000,5.1965,-37.5
899,900000,4.0539,-51.5
